B-AD,"No one likes to feel stuck , especially by your cloud , but the IBM cloud is the most open and secure public cloud for business ."
I-AD,It can manage all your apps and data anywhere .
I-AD,Smart loves problems .
I-AD,IBM lets put Smart to work .
E-AD,Visit IBM dot com slash flexible .
B-AD,"Hello , this is Ron Burgundy and you are listening to my voice , which commands trust and respect ."
I-AD,Guess what ?
I-AD,My podcast is back and that's a win for everyone .
I-AD,"If you're a longtime listener to the show , you probably already know the deal ."
I-AD,Each week I bring you hard hitting journalism and also light entertainment .
I-AD,I contain multitudes .
I-AD,"Find the Ron Burgundy podcast on the I Heart Radio app , Apple podcast , or wherever you get your podcasts ."
E-AD,Welcome to Step you should know a production of I Heart Radios How Stuff Works .
O,"Hey , welcome to the podcast ."
O,I'm Josh Clark .
O,There's Charles to Chuck .
O,There's guest producer role over there .
O,And that makes this stuff you should know about dogs .
O,We love dogs .
O,Heart them .
O,We talk a lot about dogs have dogs .
O,We have dogs .
O,Just love dogs in general .
O,They're the best .
O,"Train them up the end the train him right , though ."
O,Yeah .
O,This was an interesting one for me because I'm terrible at dog training .
O,And I just I do a mix of so many things .
O,I'm just mud .
O,Poor dogs don't even know to do none of their behaviors .
O,Their fault .
O,"Well , yeah , I think all my fault ."
O,That seems to be true among them .
O,"Like like I want to say not high end , but a good dog trainers , a professional dog trainer , high end trainers ."
O,Yeah .
O,"They they would agree that not just with you , but any dogs bad behavior as a result of their human not training them well or properly or at all ."
O,True .
O,Although I will say I mean any dog can be trained supposedly .
O,I've seen those shows .
O,"But you know , my dog Nico is just so ."
O,HotWired when someone jumps over now she's the the Brendel .
O,"OK , just so hotwired when people come over that I just don't know what to do ."
O,"What do you mean , HotWired ?"
O,Just so excited and like so excited she's about to implode into a nuclear fission reaction .
O,Okay .
O,"Like , just really , really low knows he knows , Nico ."
O,"It's like it's very , very tough to rein her in when someone knocks on that door and comes over ."
O,Okay .
O,She'll chill out after 10 minutes better .
O,"It's just hard to not get her to jump up on people and stuff because they got to be in on it , too , you know ?"
O,"Well , I would say that probably any high end dog trainer would wouldn't say that you should give her tranquilizers all the time , especially when somebody is coming over ."
O,"Well , you let her sleep her life away ."
O,"Your instinct as a dog owner is when someone comes over , your dog jumps on him and say , now , Nico , get down , get off of them and even like pull them off ."
O,"But this article says like , no , it even a scolding is reinforcing that behavior because all that dog wants is attention ."
O,Even if it's a scolding .
O,Right .
