O,"So I am standing outside of the Safeway supermarket in Erie , Colorado ."
O,And it is toilet paper day .
O,There are three people standing out here in the cold .
O,"Around 6:30 in the morning , I'm going to go talk to them ."
O,Hello .
O,How are you guys ?
O,Thanks .
O,After the battle my whole life .
O,"Sixty three and a half years , I'd be throwing my flight out of bed at 5:30 looking for foil ."
O,"And did you have the intel that this place got its toilet paper shoved under your Saturday and one nice young lady , when Marty asked about toilet paper , said , our truck is coming Monday , we'll be open ."
O,"7:00 a.m. and I said , honey , yes , were caught them haha ."
O,"I've been rationing two squares a trip for a couple of weeks and you're looking at a calculator on Facebook that I had three days worth and I'm like , No , this doesn't work for me ."
O,Out from The New York Times .
O,"Unlike Obama , this is The Daily today ."
O,How are you feeling physically right now ?
O,Are people trying at all to stay away from one another ?
O,Or is that not even possible ?
O,As much of America enters its second month of lockdown to contain the Corona virus .
O,Are there other patients that are there today that you are thinking about today ?
O,Is there something about them that really sticks in your mind ?
O,"I think my colleagues speak to people in Pittsburgh , Kansas City , New York and Seattle about their new realities ."
O,"It's Monday , April 13th ."
O,"Oh , hi , Campbell ."
O,"Well , I'm sorry , did you say did you ask me a question ?"
O,"You're saying , how are you doing ?"
O,"You know , today was up and down ."
O,Take me around .
O,"And as we're gone , you can tell me about your day so far ."
O,Let me see .
O,Is there a way to slip ?
O,I'm Campbell Robertson .
O,I'm a national correspondent based in Pittsburgh .
O,I spoke with a neighbor of my turning down to show me where people were stationed at the moment .
O,"Oh , well , all the kids are watching TV in the basement ."
O,And I can't really .
O,"I don't really want to deal with them right now because they're just , you know , there's them ."
O,"I mean , she works in public law and she's been working at home for the last few weeks ."
O,Her husband works at a hospital here .
O,So she's basically been a lone caregiver for their three boys .
O,"They're two , five and eight years old ."
O,I don't know .
O,What else do you want to say ?
O,So tell me about today .
O,How is it gone today ?
O,"Today , you horse ."
O,It was it was a calm .
O,"It was a relatively calm morning , actually , kind of quiet morning , and then they age and yeah ."
O,"Yeah , I had yeah ."
O,Do some homework .
O,I had the other to just watch TV .
O,So I do some homework .
O,OK .
O,"I tried to get some work done mid-morning , which I did ."
O,I finished one project .
O,So it was fine .
O,And then .
O,My oldest one had like one major tantrum or he was just screaming because he couldn't find his sweatshirt .
O,It's like his favorite sweatshirt .
O,It turned out it was on one of the strollers outside .
