B-AD,Today's show is brought to you by trying out a proud sponsor of this year's code conference trying to provides businesses like yours the small and medium sized innovators with full service H.R. solutions navigating the complexities of scale trying it can help whether it's hiring in different states offering great benefits to attract top talent or ensuring you retain your company culture .
I-AD,Learn more at tryna dot com .
E-AD,That's T R I N T dot com trying it incredible starts here .
B-AD,This episode is sponsored by IBM .
I-AD,The world needs a technology company that applies smart technologies at scale with purpose and expertise not just for some but for all .
I-AD,Let's Expect More From Technology .
I-AD,Let's put smart to work .
E-AD,Visit IBM dot com slash smart to learn more .
O,Hi I'm Kara Swisher editor at large of Recode .
O,You may know me as the woman who wishes she could code like a girl but in my spare time I talk tech .
O,And you're listening to Rico decode from the Vox Media podcast network today in the red chair is Rushmore so Johnny the founder and CEO of Girls Who Code a nonprofit that's working to close the gender gap in technology .
O,It offers after school programs summer classes a series of books and more Rushmore .
O,Welcome to Rico decode .
O,Thank you for having me Kyra .
O,We've talked before we talked about before on lots of stuff .
O,And the reason we're starting to talk is under some controversy there is a 60 Minutes .
O,Explain what how you got here .
O,Because we've talked many times for .
O,Yes .
O,With all the other groups that are doing coding .
O,Yeah .
O,So 60 Minutes had done a story about girls in coding and you know we had actually spoken to I had actually spoken to Lesley Stahl years ago about doing an episode on this because she had actually done this incredible episode about girls and science and you know we had talk talk talk .
O,You know we had gotten an e-mail from a producer finally being like we're doing this story and I'm like This is amazing .
O,Turns out we ended up getting cut out of the story and actually all of the women who are doing work in this got cut out .
O,And the story was done on Cody Morgan organisation whose mission is not to close a gender gap in computer science but whose mission is to teach all kids to code .
O,OK .
O,And what was problematic was about also the kind of the episode was really that this is not a pipeline problem right .
O,That there are women who are going into this .
O,We're just not starting younger .
O,So 60 Minutes really got it wrong .
O,I think I watched .
O,I was yeah .
O,Not quite .
O,Yeah absolutely yeah yeah .
O,It happens with TV in case you're interested .
O,Well I also think it's what happens when you don't talk to the people who kind of are living and breathing this work because it's more complicated in that it's more complex than that .
O,And it felt like a little bit of an infomercial for both Cadet Org and Microsoft and then weeks later you have women who are walking out of Microsoft because of allegations of sexual harassment .
O,So we know that it's much more complicated than simply let's get more girls to code .
O,Right .
O,Right .
O,So let's talk about that because I think I don't want to interrupt coding fights you know .
O,I mean I get it .
O,I have dealt with some of the workload ARG has been great .
O,There's all kinds of groups out of code and each of them has their own role to play correct .
O,It's sort of an overall role and it's been helpful of raising the idea all of you have been helpful raising the concept of it .
O,So you all sort of came into being and again you all hit it from different spots .
O,Explain what your group does .
O,Yeah .
O,I mean girls who code is our mission is to close a gender gap in computer science through technology job so getting more girls to declare see us as a major and go into the field .
O,We've taught over one hundred eighty five thousand girls to code .
O,We have six thousand clubs across the country in all 50 states we're expanding internationally .
O,So you know we're one of the largest organizations in this space and our mission is to you know we run these free summer immersion programs inside technology companies which help us and hopefully change the culture of those technology companies and we make sure that every girl that half the girls that go through our program are under the poverty line and half of them are black and Latino and it's working .
O,So our black and Latino students are majoring in computer science at a rate of 16 times the effort national average .
O,We have 30000 alone new computer science there .
O,I want to be clear with people it's a low bar with a low bar .
O,But we have 30000 new computer science graduates that are girls who code alumni on college campuses right now .
O,And so we believe at our growth at the rate that we are growing we can close the gender gap in technology jobs by 20 27 2027 .
O,And there's lots of different .
O,There's Black Girls Code organizations talking code 2040 .
O,Talk about the explosion of these .
O,Of the idea that code does I want to .
O,It was an interesting talk yesterday with Steve Case and Mark Cuban about jobs and where they're going and they were talking about A.I. replacing coding .
O,Well I want to get to that later but we'll talk about why there was this explosion and all these groups from yours to code dawg to code 2040 to Black Girls Code .
O,Oh yeah .
O,And I think a lot of us started similarly around the same time I think we saw that we were living in a time where women were the majority in college right .
O,Forty five percent of America's breadwinners and there were all these jobs and technology that paid really well .
